filing_id,amendment_id,line_item,employer_last_name,employer_first_name,employer_full_name,fees_amount,reimbursement_amount,advance_amount,period_total,cumulative_total,form_type,payment_tier,is_alameda
1935801,0,2,CITY OF ALAMEDA,,CITY OF ALAMEDA,22500.0,0.0,0.0,22500.0,100000.0,F625P2,High (10K+),True
1909069,0,2,CITY OF ALAMEDA,,CITY OF ALAMEDA,15000.0,0.0,0.0,15000.0,77500.0,F625P2,High (10K+),True
1997472,0,3,CITY OF ALAMEDA,,CITY OF ALAMEDA,11191.06,58.94,0.0,11250.0,11250.0,F625P2,High (10K+),True
1981148,0,3,CITY OF ALAMEDA,,CITY OF ALAMEDA,0.0,0.0,0.0,0.0,0.0,F625P2,Low (<1K),True
2012851,0,2,CITY OF ALAMEDA,,CITY OF ALAMEDA,11250.0,0.0,0.0,11250.0,22500.0,F625P2,High (10K+),True
2037861,0,1,CITY OF ALAMEDA,,CITY OF ALAMEDA,7500.0,0.0,0.0,7500.0,30000.0,F625P2,Medium (1K+),True
2156349,0,18,CITY OF ALAMEDA,,CITY OF ALAMEDA,15000.0,0.0,0.0,15000.0,15000.0,F625P2,High (10K+),True
2175257,0,5,CITY OF ALAMEDA,,CITY OF ALAMEDA,11250.0,0.0,0.0,11250.0,26250.0,F625P2,High (10K+),True
2131143,0,13,CITY OF ALAMEDA,,CITY OF ALAMEDA,7500.0,0.0,0.0,7500.0,63750.0,F625P2,Medium (1K+),True
2064585,0,3,CITY OF ALAMEDA,,CITY OF ALAMEDA,15000.0,0.0,0.0,15000.0,45000.0,F625P2,High (10K+),True
2101784,0,4,CITY OF ALAMEDA,,CITY OF ALAMEDA,11250.0,0.0,0.0,11250.0,56250.0,F625P2,High (10K+),True
2320650,0,14,CITY OF ALAMEDA,,CITY OF ALAMEDA,11250.0,0.0,0.0,11250.0,78750.0,F625P2,High (10K+),True
2241785,0,5,CITY OF ALAMEDA,,CITY OF ALAMEDA,15000.0,0.0,0.0,15000.0,60000.0,F625P2,High (10K+),True
